id	doi	name	matched_fields	include	json_index	note
ess-dive-01092fc392bc46d-20240819T143818677	doi:10.15485/2322567	"Hydrological control of chemical weathering and rock-carbon fluxes: East River, Colorado"	description	T	10	
ess-dive-06b3f68c29f843f-20230504T210640977033	doi:10.21952/WTR/1506940	"Geochemical exports to river from the intrameander hyporheic zone under transient hydrologic conditions, Water Resources Research: Dataset"	description	F		
ess-dive-0a37363ba198bae-20250214T163829346	doi:10.15485/1876449	"Soil thickness map at two hillslopes near the pumphouse in the east river watershed, Colorado"	"name, description, keywords, variableMeasured"	F		
ess-dive-0b0ae7b8e6e4dbb-20230504T210601135979	doi:10.21952/WTR/1526625	"Deep Unsaturated Zone Contributions to Carbon Cycling in Semiarid Environments, Journal of Geophysical Research"	"description, variableMeasured"	F		
ess-dive-0ba7ae0eb5b7573-20230504T211814681504	doi:10.15485/1813303	East River Surface and Pore Water FTICR-MS Data Associated with “Implications of sample treatment on characterization of the riverine environmental metabolome”	description	F		
ess-dive-11b796c1e83a033-20250709T195812100	doi:10.15485/2569158	"Metagenome-assembled genomes measured at 3 depths during snowmelt period in East River, CO (March, May, and June, September 2017)"	"description, keywords"	F		
ess-dive-1438b7d6eaa70e1-20250707T153211523	doi:10.15485/1618130A8	"Locations, metadata, and species cover from field sampling survey associated with NEON AOP survey, East River, CO 2018"	variableMeasured	F		"do not include; soil moisture data duplicates that reported in ess-dive-460e696d8210ed3-20260309T155937802, though with 15 fewer non-NA observations"
ess-dive-1438b7d6eaa70e1-20260309T160550600	doi:10.15485/1618130	"Locations, metadata, and species cover from field sampling survey associated with NEON AOP survey, East River, CO 2018"	variableMeasured	F		do not include; this is an earlier version of ess-dive-1438b7d6eaa70e1-20260309T160550600 under the same doi
ess-dive-173b1bd79378487-20230504T210623575724	doi:10.21952/WTR/1506944	"Using geochemical indicators to distinguish high biogeochemical activity in floodplain soils and sediments, Science of the Total Environment: Dataset"	name	F		
ess-dive-18e91eb74405882-20241017T173226640	doi:10.15485/1909712	"Raw soil carbon dioxide, moisture, temperature and micrometeorological data in the East River Watershed, Colorado June 2021-June 2024. (DE-SC0021139)"	"name, description, keywords, variableMeasured"	T	6	
ess-dive-1998cb84e8a132c-20230407T225648938144	doi:10.15485/1861892	"Stable isotopes of carbon dioxide (CO2), dissolved inorganic carbon (DIC), water and concentrations of greenhouse gases in a mountainous watershed (Crested Butte, Colorado)"	"description, variableMeasured"	F		do not include; dataset does not contain soil moisture observations
ess-dive-19d183ffbbcc244-20230407T151139561273	doi:10.15485/1924605	"ParFlow-CLM model simulation files for Maina et al., Journal of Hydrology, 2022"	description	F		
ess-dive-19e50064aae312c-20250304T004733888	doi:10.15485/2526687	"Mineralogy of floodplain sediments from Meanders C, O, and Z in the East River Watershed, CO, USA"	keywords	F		
ess-dive-1d9d5f6de23bedb-20230504T210810874422	doi:10.21952/WTR/1490867	"Remote Sensing and Geophysical Characterization of a Floodplain-Hillslope System in the East River Watershed, Colorado"	description	F		"do not include; metadata say soil moisture is included, but the columns in the file ERT_transect.txt are actually log10 EC from ERT, which are correlated in the paper with VWC data in doi:10.15485/1648526"
